frameidx,x1,y1,x2,y2,label,score
4.0,0.0,213.0,104.0,359.0,0.0,0.8706958293914795
5.0,0.0,214.0,147.0,358.0,0.0,0.9446519613265991
6.0,0.0,210.0,179.0,356.0,0.0,0.9431143403053284
7.0,0.0,204.0,224.0,358.0,0.0,0.9448947906494141
8.0,0.0,190.0,244.0,360.0,0.0,0.9222215414047241
9.0,0.0,184.0,256.0,359.0,0.0,0.9566472768783569
10.0,0.0,175.0,266.0,358.0,0.0,0.9603915810585022
10.0,1.0,272.0,153.0,401.0,0.0,0.8622859716415405
11.0,0.0,164.0,276.0,357.0,0.0,0.9617224335670471
11.0,0.0,268.0,181.0,433.0,0.0,0.9472945928573608
12.0,0.0,155.0,288.0,358.0,0.0,0.9478727579116821
12.0,0.0,264.0,204.0,434.0,0.0,0.9478186368942261
12.0,1.0,365.0,100.0,442.0,0.0,0.5995194911956787
13.0,0.0,150.0,291.0,360.0,0.0,0.9452915191650391
13.0,0.0,264.0,231.0,426.0,0.0,0.9333842396736145
13.0,3.0,372.0,151.0,496.0,0.0,0.8631073236465454
14.0,0.0,371.0,193.0,511.0,0.0,0.9463898539543152
14.0,0.0,262.0,263.0,446.0,0.0,0.944072961807251
14.0,0.0,152.0,299.0,363.0,0.0,0.938295304775238
15.0,0.0,254.0,299.0,443.0,0.0,0.9557344913482666
15.0,0.0,377.0,224.0,534.0,0.0,0.9556140899658203
15.0,0.0,141.0,320.0,356.0,0.0,0.9247794151306152
16.0,0.0,376.0,255.0,540.0,0.0,0.9582394361495972
16.0,1.0,254.0,335.0,439.0,0.0,0.9571434259414673
16.0,0.0,129.0,343.0,343.0,0.0,0.9514355659484863
17.0,1.0,255.0,368.0,452.0,0.0,0.9659006595611572
17.0,1.0,369.0,281.0,531.0,0.0,0.9589238166809082
17.0,1.0,133.0,362.0,330.0,0.0,0.9485787749290466
18.0,1.0,249.0,387.0,449.0,0.0,0.9672093391418457
18.0,0.0,124.0,379.0,310.0,0.0,0.9622381925582886
18.0,1.0,376.0,300.0,525.0,0.0,0.9544861316680908
19.0,1.0,251.0,399.0,442.0,0.0,0.9681341648101807
19.0,1.0,382.0,319.0,524.0,0.0,0.9596314430236816
19.0,0.0,124.0,390.0,284.0,0.0,0.9594275951385498
20.0,1.0,257.0,410.0,436.0,0.0,0.9650311470031738
20.0,0.0,137.0,402.0,282.0,0.0,0.9642184376716614
20.0,1.0,381.0,339.0,526.0,0.0,0.9564647674560547
21.0,0.0,130.0,416.0,274.0,0.0,0.9622740745544434
21.0,0.0,260.0,421.0,424.0,0.0,0.9619654417037964
21.0,0.0,381.0,358.0,524.0,0.0,0.9606908559799194
22.0,1.0,380.0,375.0,524.0,0.0,0.9604542255401611
22.0,0.0,135.0,425.0,272.0,0.0,0.9570149183273315
22.0,0.0,263.0,423.0,414.0,0.0,0.9568562507629395
23.0,1.0,381.0,387.0,526.0,0.0,0.9609317779541016
23.0,-1.0,256.0,427.0,411.0,0.0,0.9524034261703491
23.0,35.0,136.0,439.0,275.0,0.0,0.9389158487319946
24.0,1.0,385.0,389.0,529.0,0.0,0.9617512226104736
24.0,36.0,144.0,444.0,282.0,0.0,0.9558377265930176
24.0,0.0,261.0,425.0,412.0,0.0,0.9523493051528931
25.0,1.0,389.0,402.0,536.0,0.0,0.9642239809036255
25.0,41.0,158.0,456.0,289.0,0.0,0.9603695869445801
25.0,0.0,266.0,428.0,411.0,0.0,0.9551010727882385
26.0,43.0,161.0,481.0,293.0,0.0,0.9566726684570312
26.0,3.0,391.0,411.0,549.0,0.0,0.9558600783348083
26.0,0.0,267.0,440.0,412.0,0.0,0.9535022377967834
27.0,49.0,157.0,509.0,308.0,0.0,0.9595327377319336
27.0,0.0,270.0,430.0,414.0,0.0,0.9571261405944824
27.0,5.0,395.0,416.0,548.0,0.0,0.9391531944274902
28.0,64.0,158.0,532.0,311.0,0.0,0.9617223739624023
28.0,0.0,277.0,424.0,417.0,0.0,0.9603312015533447
28.0,3.0,402.0,419.0,547.0,0.0,0.9523612260818481
29.0,0.0,275.0,423.0,417.0,0.0,0.9641138911247253
29.0,82.0,158.0,548.0,311.0,0.0,0.9625407457351685
29.0,17.0,403.0,423.0,549.0,0.0,0.9247215986251831
30.0,0.0,274.0,425.0,415.0,0.0,0.9670596122741699
30.0,98.0,154.0,554.0,308.0,0.0,0.964465856552124
30.0,14.0,402.0,428.0,550.0,0.0,0.9236346483230591
31.0,115.0,154.0,556.0,304.0,0.0,0.9664159417152405
31.0,0.0,272.0,425.0,413.0,0.0,0.9651378393173218
31.0,10.0,402.0,428.0,550.0,0.0,0.9287416338920593
32.0,0.0,270.0,430.0,413.0,0.0,0.9648221135139465
32.0,136.0,157.0,558.0,304.0,0.0,0.9631657600402832
32.0,10.0,400.0,430.0,548.0,0.0,0.9291700124740601
